"Total energy consumed by the residential sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"10,189","10,787","11,546","12,335","14,082","15,020","16,611","17,607","19,393","21,683","24,873","29,598","29,461","28,496","29,137","36,147","40,237","43,461","47,016","38,446","34,590","34,830","40,248","40,386","45,551","46,846","43,771","42,041","41,824","46,208","47,410","45,623","46,912","47,943","49,237","50,322","50,875","48,844","47,564","52,227","50,780","54,045","52,028","52,810","55,874","53,524","59,556","53,742","53,668","53,536","52,253","53,939","54,597","48,810","47,823","53,136","50,890","53,128",,,,,,,,,,,,,,,,,,,,,,,,,
AL,"124,894","121,253","132,329","140,993","148,042","147,307","153,849","155,314","187,648","206,246","221,615","228,132","239,588","254,674","252,523","234,043","249,401","264,632","269,292","249,304","272,413","262,308","267,646","264,723","278,750","275,396","283,917","294,347","299,608","307,947","303,723","306,532","308,405","325,112","326,416","338,685","360,583","338,524","363,498","362,713","385,991","366,707","386,156","373,759","378,727","384,017","392,823","394,481","388,089","372,777","419,301","377,607","338,204","358,286","378,853","349,230","341,258","323,484",,,,,,,,,,,,,,,,,,,,,,,,,
AR,"80,587","80,624","82,565","85,776","93,756","90,025","110,858","113,653","124,499","136,344","144,126","138,371","147,217","153,204","146,296","167,441","170,337","184,409","182,366","175,912","176,124","147,564","154,184","158,906","155,736","152,876","153,561","158,439","163,835","168,534","170,801","176,008","167,392","192,017","186,274","196,994","203,152","198,303","209,306","209,484","226,044","222,183","226,028","218,441","215,406","233,773","225,266","232,476","236,596","226,788","253,876","247,420","221,966","241,040","246,790","228,572","213,593","202,066",,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"48,824","51,198","48,300","52,660","60,457","58,339","63,080","66,568","72,096","82,071","88,755","98,710","110,557","122,525","124,455","129,541","134,167","139,690","138,824","147,553","153,748","150,387","155,170","166,114","170,125","185,647","181,812","192,160","201,500","214,637","215,025","217,263","221,817","225,039","241,810","240,879","263,265","273,503","287,420","295,935","323,212","331,334","325,498","336,694","347,470","359,581","374,054","394,012","385,448","373,837","376,648","391,384","378,761","389,506","377,956","385,464","391,659","401,375",,,,,,,,,,,,,,,,,,,,,,,,,
CA,"595,971","619,172","677,892","711,654","792,464","841,483","870,428","932,522","948,310","1,036,371","1,046,492","1,167,142","1,192,848","1,189,801","1,148,722","1,220,587","1,202,586","1,154,079","1,196,279","1,290,698","1,226,364","1,192,869","1,232,826","1,226,313","1,227,952","1,304,360","1,217,724","1,308,727","1,359,856","1,420,797","1,369,246","1,372,604","1,355,491","1,356,760","1,369,632","1,326,002","1,366,950","1,361,765","1,494,089","1,502,062","1,435,831","1,429,328","1,440,397","1,470,668","1,503,742","1,454,017","1,503,232","1,474,374","1,511,903","1,483,947","1,466,635","1,500,559","1,437,866","1,436,370","1,355,025","1,347,738","1,379,721","1,415,536",,,,,,,,,,,,,,,,,,,,,,,,,
CO,"92,060","97,088","100,221","92,335","106,220","107,148","123,088","123,703","136,344","142,719","145,626","152,009","165,239","177,577","170,929","166,755","177,547","171,405","172,077","176,054","179,966","189,511","208,501","216,900","207,793","207,519","195,813","196,751","207,182","211,451","214,109","231,082","226,915","242,302","236,373","248,518","261,950","264,229","261,235","275,088","292,583","301,883","317,538","317,981","307,914","323,145","321,426","343,360","347,929","339,581","352,315","354,262","334,949","363,368","353,334","347,376","348,308","343,326",,,,,,,,,,,,,,,,,,,,,,,,,
CT,"157,365","158,725","158,566","159,556","152,440","160,492","159,047","165,908","176,332","186,715","201,340","204,986","216,597","216,291","212,487","204,854","219,245","218,020","222,691","244,287","231,791","230,318","224,054","211,728","214,133","215,111","230,119","235,424","256,565","267,654","249,091","246,763","268,736","263,350","260,375","250,180","260,048","250,478","234,405","253,573","279,327","263,507","262,116","298,641","298,710","281,940","252,824","265,629","255,154","253,181","251,431","238,420","232,717","247,889","248,117","251,759","226,700","229,922",,,,,,,,,,,,,,,,,,,,,,,,,
DC,"24,272","24,123","25,044","25,394","25,872","26,781","27,190","29,431","31,325","32,354","34,006","32,280","32,384","33,303","31,553","30,914","32,192","30,573","31,762","29,990","34,103","30,625","33,107","33,171","38,745","37,997","38,182","37,767","38,222","37,801","35,313","36,657","36,846","39,067","37,127","38,117","39,886","36,906","34,532","35,915","37,371","34,814","38,029","38,625","39,059","38,963","33,729","37,685","36,837","37,887","38,990","35,957","34,620","36,755","38,467","42,435","39,208","38,383",,,,,,,,,,,,,,,,,,,,,,,,,
DE,"25,439","24,991","27,408","29,833","28,327","29,678","31,441","32,524","35,342","36,555","38,117","39,367","40,969","40,493","38,715","40,760","43,545","43,536","43,188","49,172","41,665","34,364","35,143","36,947","45,479","45,196","43,201","47,432","50,618","51,651","50,771","53,292","54,484","54,427","54,619","55,698","58,707","57,143","56,115","59,841","63,240","61,704","68,033","69,416","68,040","71,492","63,595","67,885","68,590","68,690","72,454","67,909","62,023","64,893","66,613","65,664","60,458","59,717",,,,,,,,,,,,,,,,,,,,,,,,,
FL,"129,053","137,145","150,443","167,376","179,779","186,904","210,892","218,800","256,943","295,753","340,515","368,057","400,184","457,610","446,118","449,562","470,408","506,873","547,610","539,429","601,557","599,509","604,636","612,453","654,971","702,263","725,923","741,245","780,934","870,073","881,044","902,077","905,857","919,100","943,562","1,005,218","1,047,476","1,033,332","1,114,078","1,096,323","1,146,528","1,150,948","1,219,141","1,239,014","1,232,137","1,242,710","1,245,281","1,254,926","1,217,069","1,222,969","1,271,788","1,191,486","1,128,072","1,147,258","1,177,069","1,207,445","1,205,132","1,175,959",,,,,,,,,,,,,,,,,,,,,,,,,
GA,"162,882","162,296","168,426","176,197","187,870","190,611","207,099","214,257","234,024","253,856","268,268","275,289","278,405","295,344","282,623","311,147","319,199","352,559","355,620","333,562","362,489","354,319","358,075","362,606","390,911","393,663","416,482","434,061","449,668","463,843","435,344","449,366","465,501","515,235","490,917","546,653","593,054","573,476","599,823","586,085","655,864","623,229","658,118","679,378","715,242","712,534","712,424","735,842","738,103","726,611","819,902","747,018","671,540","686,907","741,983","697,028","709,148","666,011",,,,,,,,,,,,,,,,,,,,,,,,,
HI,"7,144","7,337","7,736","8,699","9,378","9,876","10,500","11,721","12,638","14,056","15,461","16,752","18,639","19,009","19,302","18,957","20,279","20,719","20,788","21,438","21,021","20,937","19,601","20,093","19,734","19,928","20,449","21,963","23,018","25,381","30,724","26,114","29,658","29,588","30,504","31,256","32,045","32,135","32,332","32,372","32,984","32,163","34,519","31,775","32,638","33,336","33,679","34,100","33,424","33,307","32,681","32,506","31,530","30,848","31,407","31,568","32,500","34,017",,,,,,,,,,,,,,,,,,,,,,,,,
IA,"160,974","162,441","172,500","172,800","174,641","184,889","181,349","191,288","200,030","212,037","219,306","216,919","230,443","227,730","227,044","233,812","231,109","231,859","235,343","253,734","242,420","227,270","243,543","240,323","224,590","212,461","204,022","189,854","210,727","210,230","204,980","221,487","205,719","224,108","219,262","229,733","240,748","233,238","220,377","233,648","236,927","229,682","237,887","238,148","232,818","238,471","229,996","243,620","255,692","246,361","248,966","246,130","223,943","253,112","253,915","226,772","227,802","220,605",,,,,,,,,,,,,,,,,,,,,,,,,
ID,"36,975","37,156","38,191","38,300","40,566","39,970","40,547","47,048","48,483","46,802","48,213","52,959","56,943","58,244","60,638","72,235","74,243","77,354","75,136","80,492","72,348","73,504","77,453","75,767","80,003","82,115","76,202","70,122","74,397","80,451","79,408","85,864","81,519","91,255","89,364","90,065","94,882","96,215","95,560","102,410","108,304","103,600","106,320","103,327","110,235","118,926","124,353","129,055","135,864","127,602","120,862","125,277","116,596","127,031","119,891","122,911","122,834","134,471",,,,,,,,,,,,,,,,,,,,,,,,,
IL,"584,516","601,027","636,947","636,969","660,030","694,500","727,438","756,277","784,335","850,092","864,670","899,002","941,925","907,338","918,188","929,884","973,308","1,004,195","1,023,428","944,989","908,279","872,785","876,502","881,535","911,635","875,356","852,997","835,952","919,119","952,655","883,832","947,510","911,107","947,325","927,962","986,369","1,019,883","971,821","906,279","949,947","967,544","942,860","999,715","991,856","968,161","1,005,402","942,386","1,002,463","1,028,255","975,657","996,868","979,617","914,110","1,010,104","1,031,195","924,261","923,529","891,635",,,,,,,,,,,,,,,,,,,,,,,,,
IN,"281,836","288,808","305,346","303,701","306,681","317,961","337,291","356,455","379,447","405,239","419,481","434,228","459,762","445,924","447,363","449,010","451,480","466,359","490,438","470,892","458,058","441,301","449,633","433,699","435,516","424,387","423,852","430,358","464,020","473,156","434,147","462,425","450,968","483,511","472,449","491,948","522,939","502,557","475,318","511,141","516,489","504,078","535,194","549,109","530,332","570,341","527,199","578,370","591,137","559,084","582,524","557,600","519,935","568,940","582,543","535,027","525,453","497,840",,,,,,,,,,,,,,,,,,,,,,,,,
KS,"123,860","136,679","140,904","137,445","140,419","149,826","148,856","145,678","158,488","171,163","181,603","184,073","191,740","191,169","189,397","183,706","188,846","184,915","195,436","189,827","186,323","175,442","188,335","193,629","186,830","188,003","177,261","181,604","190,647","191,393","196,046","207,072","187,694","212,569","203,496","208,871","225,347","213,259","221,591","220,165","232,555","221,735","231,749","230,854","224,157","233,626","223,174","235,114","242,178","239,275","248,148","245,306","220,897","235,882","240,294","221,062","213,160","205,544",,,,,,,,,,,,,,,,,,,,,,,,,
KY,"135,191","131,326","133,516","140,562","139,649","144,459","143,499","160,904","185,140","204,116","213,695","213,323","206,100","211,007","208,025","227,041","252,065","271,659","270,387","266,242","266,005","260,471","263,998","266,351","274,257","269,111","271,469","275,422","291,099","298,223","267,676","293,899","287,602","305,986","303,947","321,342","334,912","320,461","313,384","333,500","348,162","335,441","368,828","360,152","358,529","381,013","361,405","394,040","393,659","383,398","412,714","383,276","361,423","384,824","393,757","360,090","354,150","331,991",,,,,,,,,,,,,,,,,,,,,,,,,
LA,"107,732","109,387","119,282","127,030","141,088","136,457","150,239","162,592","178,110","197,023","210,876","213,879","233,954","250,339","248,400","249,624","255,071","276,041","277,822","280,755","278,536","292,672","289,108","277,463","298,065","299,597","294,442","293,768","294,181","303,157","317,122","316,186","312,625","330,843","328,585","347,316","354,301","351,556","374,154","362,718","389,606","356,067","376,576","352,287","355,191","371,331","344,131","346,312","346,802","352,882","385,715","370,693","338,328","343,118","348,374","333,488","316,148","312,431",,,,,,,,,,,,,,,,,,,,,,,,,
MA,"346,707","356,044","367,583","357,513","352,618","379,234","357,928","387,052","400,887","420,220","439,755","458,970","478,049","481,181","464,113","451,700","483,105","474,741","461,807","387,624","400,968","371,040","374,282","379,758","394,784","396,914","407,974","416,371","431,859","454,120","429,069","410,753","449,335","455,641","453,034","428,257","429,276","414,717","402,285","436,705","455,228","457,302","465,023","474,895","454,869","445,481","405,346","424,374","431,612","424,472","436,770","424,840","404,835","422,023","438,254","435,994","396,192","409,530",,,,,,,,,,,,,,,,,,,,,,,,,
MD,"142,516","152,468","159,685","165,751","171,019","175,622","182,280","197,115","210,508","222,052","236,241","241,196","245,673","253,766","246,462","250,232","259,210","260,353","271,689","279,029","284,226","270,475","274,439","276,268","301,909","293,463","306,217","322,685","344,803","349,021","332,780","347,478","347,182","377,113","374,517","376,678","402,281","371,495","364,222","382,624","402,717","385,181","408,076","430,900","442,811","447,382","408,358","435,429","424,586","425,613","451,052","418,905","399,706","429,677","439,759","424,674","407,177","386,266",,,,,,,,,,,,,,,,,,,,,,,,,
ME,"63,480","71,491","71,422","74,783","67,060","68,536","65,260","72,929","76,945","80,213","81,731","83,862","89,768","86,926","86,516","86,760","102,189","108,823","104,899","95,683","85,326","76,567","76,498","68,698","72,819","83,637","88,254","87,843","94,627","94,289","86,089","84,624","88,300","91,153","85,171","90,674","94,787","92,408","94,530","91,749","91,844","91,570","84,404","105,517","111,673","107,849","100,143","97,232","88,151","90,439","88,688","87,784","81,328","85,006","91,333","107,360","96,576","99,557",,,,,,,,,,,,,,,,,,,,,,,,,
MI,"483,136","504,210","526,026","525,127","525,917","560,201","592,001","622,419","651,287","681,184","704,115","729,836","768,064","755,086","748,864","740,329","752,718","715,134","754,519","747,042","765,166","719,752","711,880","700,782","694,752","699,874","696,549","690,262","749,674","775,467","727,130","729,371","739,535","747,960","730,864","768,433","808,916","782,996","733,939","778,393","800,624","807,577","854,888","867,401","829,459","874,149","785,140","813,578","807,819","755,413","751,556","763,365","701,620","771,793","788,441","741,962","731,109","724,775",,,,,,,,,,,,,,,,,,,,,,,,,
MN,"196,677","201,780","211,538","209,265","218,960","239,221","254,460","255,912","270,724","285,818","299,192","304,645","319,002","308,071","314,858","314,617","319,745","309,900","327,068","323,756","301,821","288,524","319,538","300,407","300,320","309,391","304,247","293,209","330,356","346,261","324,383","342,566","326,562","341,009","341,633","359,525","383,103","359,680","331,011","353,254","368,594","369,778","398,235","427,260","409,748","404,187","388,049","413,803","420,527","407,142","400,272","398,746","375,572","416,512","431,646","379,915","375,441","385,911",,,,,,,,,,,,,,,,,,,,,,,,,
MO,"232,969","236,252","242,911","242,103","244,123","252,149","264,156","270,966","288,981","313,589","325,376","329,782","347,856","346,226","347,106","372,758","375,708","385,385","413,480","412,028","406,319","360,178","373,708","390,548","379,560","379,602","378,381","378,530","401,641","409,258","392,036","423,355","395,870","451,348","430,604","451,570","481,409","468,313","462,976","468,843","486,681","496,783","501,198","496,122","489,468","527,997","503,862","535,671","549,388","527,322","564,128","540,462","491,512","537,004","559,922","497,757","492,686","470,603",,,,,,,,,,,,,,,,,,,,,,,,,
