"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"404,939","411,387","438,300","473,278","513,324","511,644","566,410","579,960","645,521","684,793","746,912","786,107","830,744","847,974","817,314","771,990","778,923","819,170","849,268","877,571","833,876","817,881","814,290","819,939","858,698","837,167","846,367","868,802","917,601","959,292","1,028,502","1,054,459","1,079,176","1,087,525","1,100,904","1,128,160","1,153,880","1,152,892","1,144,864","1,239,366","1,246,924","1,134,614","1,176,881","1,209,214","1,212,299","1,168,021","1,212,369","1,224,549","1,165,658","1,111,627","1,179,994","1,157,889","1,144,728","1,139,863","1,159,615","1,138,077","1,160,620","1,176,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"227,460","241,691","248,275","252,510","263,813","258,824","275,598","260,368","280,467","314,298","322,784","333,934","342,383","347,660","351,944","345,409","365,130","361,105","383,374","397,177","360,216","337,187","316,999","323,449","359,490","370,198","352,552","329,241","341,806","351,807","347,472","352,416","346,127","364,199","368,375","388,345","394,493","365,367","387,928","393,216","407,328","355,696","378,964","377,063","399,048","419,478","439,103","469,893","456,678","427,046","402,053","403,202","395,970","406,672","405,408","404,110","404,888","420,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"826,470","858,960","902,745","930,073","967,053","1,000,435","1,089,558","1,137,963","1,211,104","1,281,029","1,342,676","1,403,918","1,480,269","1,551,096","1,501,847","1,458,782","1,558,503","1,633,866","1,665,364","1,730,521","1,667,382","1,629,516","1,592,073","1,668,995","1,800,225","1,797,051","1,879,993","1,966,269","2,044,646","2,064,537","2,055,247","2,034,967","2,129,600","2,215,853","2,243,414","2,356,456","2,442,905","2,420,159","2,463,893","2,473,188","2,587,792","2,534,318","2,556,856","2,576,431","2,650,199","2,677,722","2,622,040","2,686,093","2,698,637","2,556,866","2,695,337","2,569,742","2,488,292","2,537,747","2,570,546","2,535,020","2,547,815","2,503,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"159,415","154,763","164,872","170,619","172,006","169,405","180,786","185,106","191,968","192,560","191,117","195,302","203,742","202,197","204,358","206,515","210,442","210,359","230,012","237,989","222,373","236,161","234,682","230,477","259,557","300,438","303,900","302,940","306,556","319,110","312,429","322,310","328,612","331,542","341,308","349,465","352,427","358,832","346,952","374,506","380,598","406,225","399,980","399,476","403,042","408,105","414,433","437,194","443,699","435,006","476,718","529,637","553,657","594,918","644,845","612,376","586,429","631,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"307,836","314,944","327,421","334,977","347,076","348,616","389,146","385,223","422,750","455,912","487,481","496,173","509,525","522,129","518,540","525,658","554,831","556,876","556,658","545,126","507,068","477,613","492,029","502,801","506,451","499,912","482,525","495,732","535,116","533,925","525,308","534,720","523,410","551,179","574,735","603,029","634,394","647,540","664,048","654,171","655,874","653,448","664,606","673,511","685,988","693,602","709,964","757,048","795,353","778,840","861,617","863,554","853,389","872,746","870,154","853,819","868,307","876,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"112,158","119,931","128,225","133,691","133,091","131,247","144,764","149,526","159,459","176,217","186,601","201,058","212,305","216,617","206,500","201,882","226,976","230,352","233,236","210,760","208,260","200,294","201,336","204,533","224,289","233,475","252,309","273,261","273,541","272,775","267,416","252,203","261,547","261,308","264,405","267,217","279,649","279,148","282,018","291,962","309,318","306,156","316,032","325,224","331,782","324,933","306,183","309,038","301,443","297,969","297,207","295,370","285,239","305,280","312,018","314,898","305,904","317,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"1,301,938","1,361,749","1,460,847","1,501,224","1,538,414","1,569,751","1,667,786","1,768,292","1,841,016","1,896,202","1,977,939","1,970,817","2,079,998","2,122,047","1,981,582","1,883,779","2,070,578","2,005,608","2,020,375","2,032,650","2,042,226","2,026,137","2,064,991","2,087,571","2,184,942","2,137,379","2,200,878","2,276,016","2,293,960","2,354,787","2,245,482","2,274,398","2,357,058","2,365,707","2,480,478","2,476,214","2,479,470","2,499,687","2,449,617","2,561,235","2,471,918","2,447,508","2,479,567","2,508,931","2,554,068","2,652,446","2,533,435","2,666,397","2,594,341","2,372,654","2,411,758","2,425,249","2,249,421","2,317,278","2,351,524","2,295,147","2,211,499","2,134,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"328,439","340,085","376,092","370,467","365,774","353,197","375,974","407,731","436,306","429,135","458,694","469,511","501,736","477,784","476,488","459,396","508,860","473,306","475,173","480,612","480,615","472,741","465,226","472,744","474,648","466,444","454,881","485,504","510,363","535,009","595,763","588,050","585,580","600,711","588,508","579,994","602,611","641,637","633,229","636,567","660,091","658,817","656,346","657,701","681,483","680,147","686,974","715,359","677,369","644,506","652,066","670,413","667,297","670,662","680,421","680,091","672,340","683,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"90,994","104,789","112,985","123,243","133,731","130,174","144,957","150,718","163,400","176,999","190,122","201,661","217,655","233,459","233,766","238,093","250,239","256,716","282,200","296,498","291,313","286,208","290,160","300,667","300,567","302,688","303,314","330,578","353,306","389,011","403,029","415,712","429,520","453,426","491,136","505,745","550,731","555,057","574,083","594,429","614,707","621,969","614,735","639,545","673,679","698,333","739,691","732,978","697,145","651,321","646,730","633,139","639,066","659,343","661,968","651,344","680,144","707,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"2,989,032","3,093,838","3,238,540","3,305,923","3,382,126","3,664,673","3,867,170","3,955,831","4,052,442","4,200,652","4,303,439","4,251,263","4,269,847","4,419,080","4,128,073","3,925,249","4,224,994","4,195,220","4,195,842","3,972,800","3,863,274","3,673,745","3,529,658","3,353,921","3,403,950","3,508,528","3,554,662","3,658,508","3,748,830","3,771,097","3,735,420","3,672,144","3,755,436","3,779,999","3,715,646","3,763,256","3,914,760","3,985,274","3,910,799","4,030,405","4,109,201","3,992,657","4,001,875","4,135,987","4,235,201","4,127,829","3,829,396","3,955,435","3,873,097","3,698,530","3,728,584","3,615,316","3,504,433","3,626,917","3,752,515","3,750,534","3,685,544","3,684,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"2,994,711","2,898,735","3,036,395","3,113,988","3,215,365","3,369,016","3,539,868","3,543,981","3,710,053","3,856,077","3,932,645","3,871,518","4,125,705","4,218,370","4,198,106","3,979,902","4,208,900","4,198,403","4,275,771","4,261,990","3,950,811","3,848,330","3,507,765","3,444,507","3,646,301","3,622,387","3,591,701","3,708,183","3,844,211","3,953,736","3,770,087","3,767,045","3,804,977","3,855,966","3,970,867","4,040,295","4,129,487","4,111,640","4,011,629","4,168,738","4,202,425","3,948,907","3,893,635","3,960,004","3,994,534","4,025,021","3,869,471","4,047,281","3,998,405","3,666,322","3,830,947","3,798,275","3,658,632","3,734,502","3,834,273","3,745,758","3,693,000","3,643,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"580,906","582,692","692,041","768,636","802,725","774,367","744,879","763,519","843,549","886,447","939,226","965,680","1,019,204","1,024,152","1,064,042","1,070,091","1,162,766","1,224,894","1,266,603","1,322,376","1,213,993","1,248,960","1,318,075","1,316,946","1,322,507","1,297,798","1,203,182","1,256,837","1,291,311","1,325,070","1,382,653","1,315,793","1,330,177","1,388,934","1,393,746","1,368,422","1,428,665","1,434,069","1,436,479","1,417,383","1,473,734","1,494,608","1,446,465","1,475,978","1,464,767","1,515,574","1,555,092","1,571,276","1,581,494","1,492,242","1,582,375","1,588,072","1,563,998","1,622,927","1,685,554","1,632,845","1,633,797","1,643,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"470,579","485,140","509,385","527,201","578,504","591,834","630,433","646,405","691,620","733,064","752,924","796,879","837,435","854,962","837,588","867,638","885,915","885,093","951,139","977,131","945,029","939,039","905,941","868,020","936,508","913,873","895,457","940,455","991,005","999,506","978,110","1,009,616","1,001,923","1,019,599","1,033,185","1,040,836","1,085,249","1,096,392","1,107,618","1,132,885","1,116,714","1,027,577","1,023,215","1,001,580","999,636","1,036,101","1,071,726","1,061,979","1,046,619","1,012,758","981,312","1,007,805","978,245","996,244","992,956","970,883","987,666","1,032,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"3,253,214","3,146,037","3,255,423","3,391,013","3,588,928","3,731,977","3,831,882","3,816,103","3,959,290","3,982,119","4,106,916","4,044,955","4,187,795","4,294,356","4,124,018","3,913,887","4,164,173","4,127,190","4,128,436","4,249,658","3,996,299","3,809,830","3,363,346","3,377,212","3,604,664","3,434,064","3,378,296","3,551,982","3,713,946","3,738,812","3,635,723","3,572,793","3,675,538","3,746,347","3,820,034","3,877,821","3,911,513","3,875,116","3,715,245","3,752,079","3,925,984","3,833,064","3,893,246","3,942,917","3,989,867","4,012,421","3,883,800","3,960,358","3,940,341","3,625,449","3,756,486","3,729,272","3,621,551","3,828,188","3,955,081","3,872,177","3,758,844","3,807,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"187,082","172,905","180,862","180,600","178,156","173,485","175,290","193,450","197,936","210,703","222,536","235,513","236,763","231,946","215,591","206,221","215,504","223,147","212,617","201,339","185,615","175,209","174,887","180,973","192,232","204,275","206,204","215,862","223,279","216,864","212,689","218,147","244,586","201,720","238,889","227,806","218,544","216,194","225,042","224,362","202,476","201,805","200,789","216,040","213,931","207,316","198,412","198,296","194,315","194,840","195,504","185,911","183,916","199,075","204,879","203,300","186,147","183,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,"489,216","507,093","540,137","561,023","560,524","554,319","593,446","603,092","654,373","699,204","745,729","779,638","834,960","886,118","858,642","840,874","964,613","1,000,303","994,484","984,487","997,901","1,002,177","973,134","1,006,503","1,069,330","1,076,310","1,142,219","1,178,512","1,235,317","1,243,836","1,262,871","1,290,130","1,306,126","1,361,656","1,362,611","1,415,700","1,453,472","1,500,752","1,547,408","1,549,498","1,595,031","1,547,170","1,586,193","1,591,372","1,694,963","1,667,703","1,677,452","1,670,755","1,637,749","1,573,632","1,653,892","1,611,608","1,567,378","1,602,238","1,642,098","1,660,226","1,652,020","1,643,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,"128,835","131,556","136,645","140,408","143,784","140,065","146,362","145,670","153,321","159,805","168,792","170,183","179,190","176,823","172,589","181,948","195,374","196,832","205,651","204,965","190,687","178,760","191,238","185,488","188,704","194,819","195,032","195,204","205,416","214,315","217,134","213,566","216,362","229,490","236,048","239,668","252,919","242,614","239,811","245,317","258,942","251,542","270,799","275,112","284,389","302,070","306,930","330,556","353,290","363,075","379,018","378,971","370,842","390,362","393,982","385,866","383,002","384,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,"962,617","978,121","1,015,575","1,062,187","1,088,445","1,137,343","1,231,562","1,236,057","1,284,591","1,340,773","1,365,610","1,371,116","1,473,992","1,614,086","1,578,503","1,614,225","1,720,063","1,779,374","1,762,976","1,800,371","1,724,916","1,693,019","1,611,851","1,660,254","1,737,534","1,711,499","1,700,016","1,712,673","1,777,007","1,829,468","1,791,963","1,790,944","1,833,618","1,865,782","1,926,862","1,944,618","2,050,178","2,027,556","2,107,975","2,148,027","2,180,828","2,196,527","2,221,804","2,240,357","2,269,820","2,315,375","2,314,365","2,343,999","2,283,214","2,084,442","2,251,551","2,200,767","2,085,371","2,137,896","2,205,494","2,180,064","2,208,803","2,166,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,"4,416,216","4,447,880","4,640,675","4,894,089","5,012,683","5,212,184","5,557,255","5,879,030","6,268,911","6,656,323","6,921,781","7,233,774","7,623,194","8,241,366","8,093,721","7,511,439","7,835,920","8,475,779","8,941,144","9,308,055","9,385,670","9,147,556","8,471,394","8,406,461","8,946,242","9,011,817","9,007,599","9,240,071","9,811,771","10,093,725","10,272,320","10,278,273","10,445,158","10,554,352","10,879,574","11,070,854","11,832,246","12,237,335","12,418,135","12,077,034","12,420,851","12,200,928","12,508,396","12,295,541","12,333,678","11,858,030","11,864,993","11,774,259","11,251,973","10,883,320","11,681,851","11,885,388","11,944,734","12,723,430","12,733,681","12,886,742","13,089,570","13,365,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,"303,229","300,811","310,319","311,815","334,525","339,504","350,834","345,267","365,623","395,838","397,019","415,199","428,177","457,776","473,666","480,756","510,233","486,089","510,695","526,397","504,574","478,203","467,638","491,810","504,008","500,434","470,786","462,389","526,305","537,620","535,798","565,520","551,616","577,314","587,193","636,867","666,149","680,514","703,879","694,356","738,703","708,430","688,303","698,797","729,507","759,926","778,574","780,947","768,023","742,220","757,821","795,887","791,417","832,657","800,066","803,439","812,029","828,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,"851,297","854,600","883,702","939,691","969,280","1,046,094","1,116,959","1,137,190","1,197,529","1,237,230","1,279,028","1,322,363","1,375,395","1,435,070","1,382,349","1,358,994","1,443,835","1,486,224","1,515,163","1,568,370","1,530,854","1,514,259","1,501,050","1,559,137","1,636,831","1,670,500","1,756,943","1,847,217","1,921,950","1,965,088","1,963,516","1,970,636","1,995,924","2,063,530","2,086,792","2,151,334","2,208,529","2,204,590","2,230,669","2,288,910","2,385,532","2,321,711","2,352,852","2,425,498","2,549,900","2,622,808","2,566,729","2,642,956","2,544,421","2,429,308","2,491,754","2,387,547","2,348,180","2,417,016","2,435,984","2,374,498","2,332,178","2,302,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,"68,554","71,941","74,781","74,605","72,070","83,090","90,907","94,557","100,490","106,584","113,222","116,968","123,917","126,434","116,837","114,356","131,790","129,325","134,455","131,782","125,793","120,672","115,117","123,272","132,836","134,538","128,263","137,510","144,630","142,529","126,145","132,567","138,294","136,281","135,888","133,145","139,994","144,779","136,240","134,530","147,384","147,682","148,315","150,996","161,071","159,602","156,465","154,782","146,366","156,678","156,049","151,927","130,720","137,226","140,498","140,934","135,834","134,794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,"807,277","823,383","860,062","900,608","961,435","996,454","1,058,961","1,112,762","1,210,234","1,296,162","1,294,145","1,320,979","1,462,402","1,498,556","1,494,231","1,458,166","1,506,955","1,524,554","1,616,207","1,667,783","1,636,821","1,762,292","1,667,861","1,624,957","1,724,697","1,724,684","1,758,552","1,810,437","1,947,741","2,013,008","2,046,391","2,037,067","2,072,251","2,069,959","2,060,465","2,109,349","2,093,829","2,122,682","2,194,178","2,279,810","2,210,207","1,990,431","1,846,010","1,858,449","1,919,112","1,948,752","2,055,701","2,048,782","2,041,217","2,031,298","2,042,409","2,069,319","2,044,291","2,045,483","2,021,410","2,009,968","2,071,682","2,096,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,"854,308","877,011","917,963","940,067","974,857","1,030,533","1,091,996","1,137,123","1,184,174","1,248,392","1,289,050","1,293,197","1,287,690","1,354,483","1,341,660","1,341,892","1,372,938","1,437,713","1,501,615","1,468,965","1,463,981","1,421,298","1,404,352","1,419,852","1,487,633","1,501,131","1,425,549","1,404,088","1,510,126","1,516,590","1,484,602","1,525,891","1,523,566","1,585,889","1,634,391","1,697,163","1,761,984","1,768,369","1,748,093","1,840,348","1,872,841","1,849,653","1,890,779","1,864,997","1,889,502","1,971,998","1,876,662","1,901,625","1,894,497","1,763,916","1,808,493","1,792,944","1,733,140","1,828,843","1,887,187","1,809,982","1,793,907","1,805,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,"617,977","648,667","656,276","689,629","729,022","753,923","771,519","739,838","807,461","796,648","795,739","779,534","828,980","845,774","841,728","790,364","826,694","819,746","807,745","823,762","788,175","769,650","713,139","681,588","717,840","665,396","668,346","681,320","726,601","748,561","704,399","674,052","687,505","710,783","736,902","738,802","711,148","709,110","736,402","718,497","738,131","732,417","756,961","713,242","736,387","737,453","760,598","789,736","776,191","706,183","751,374","738,120","730,669","751,405","781,214","768,621","762,028","756,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,"141,355","154,474","173,407","163,153","163,391","172,698","180,286","205,150","225,588","250,536","255,480","268,453","286,868","283,507","278,885","277,367","300,313","325,289","354,800","378,316","362,253","352,782","363,372","329,172","351,234","357,215","335,938","363,821","370,702","382,037","399,356","388,320","421,599","407,022","408,146","403,188","415,227","414,905","421,015","425,313","427,937","438,344","438,700","461,304","450,718","456,025","480,339","523,564","538,334","524,112","541,763","558,021","551,135","540,274","537,554","507,971","505,739","512,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,"45,033,606","45,684,153","47,773,067","49,605,630","51,766,732","53,965,864","56,960,904","58,916,870","62,401,694","65,578,920","67,720,114","69,163,993","72,677,208","75,723,857","73,914,525","71,953,031","75,966,653","77,946,963","79,978,066","80,836,123","78,047,744","76,093,930","73,006,442","72,879,382","76,510,942","76,406,632","76,592,009","78,960,216","82,711,222","84,731,901","84,455,290","84,379,011","85,731,655","87,294,876","89,010,843","90,994,772","94,005,089","94,656,462","94,933,435","96,525,795","98,694,694","96,037,904","97,540,330","97,833,112","100,010,334","100,097,668","99,354,258","100,870,038","98,724,712","93,965,172","97,515,551","96,852,601","94,367,771","97,099,401","98,267,257","97,364,113","97,230,097","97,621,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
